"Station ID","Company Name","Location","Industry Domain","Preferred Branches","Stipend (UG)","Stipend (PG)","Facilities (Raw)","Projects","Have Accommodation?"
"3779","Aerchain (Tech)","Bangalore","IT","Any","30000","0","Weekdays: Sunday
FacultyId: 980
StipendForPG: 0
ContactDetailsForBoys: 
ContactDetailsForGirls: 
TillTime:  7:00PM
FieldTA: -
Travel: -
Status: Active
Stationary: -
OtherInfo: Technical project has stipend of 30K and Program Management project has stipend of 20K for UG students.
SubsidizedLunch: -
StationFacilitiesId: 9533
Stipend: 30000
RemarkforAccommodation: 
CompanyId: 3496
Accomodation: Students to make their own arrangements
FieldDA: -
Medical: No Facilities
AccomAddressforBoys: 
AccomAddressforGirls: 
StartTime: 10:00AM
OnOffice: -
ToOffice: -
StationAddress: Aerchain, Bangalore","Project: 0
Title: Web application development
Description: As an enterprise SaaS product,
work will be adding new
features for the core product
wrt. functionality and
customer requirements.

Skills: Data Analytics , Database , Database systems , Javascript (Reactjs and Nodejs), , Analytical and Problem solving skills , communication skill
Students Required: 2
Min CGPA: 0
Max CGPA: 0","No"
"5117","Aerchain - Non Tech","Bangalore","Finance and Mgmt","Any","20000","0","Accomodation: -
OnOffice: -
FieldTA: -
SubsidizedLunch: -
StationFacilitiesId: 9685
ContactDetailsForGirls: 
StartTime: 10:00AM
Status: Active
RemarkforAccommodation: 
ContactDetailsForBoys: 
ToOffice: -
Medical: -
Stationary: -
Weekdays: Sunday
FacultyId: 0
StipendForPG: 0
AccomAddressforGirls: 
TillTime:  7:00PM
OtherInfo: -
Travel: -
StationAddress: SF03, Aedifice Grandeur, 29th
Main Road, BTM Stage 2,
Bangalore - 560076, Karnataka
Stipend: 20000
AccomAddressforBoys: 
CompanyId: 4820
FieldDA: -","Project: 0
Title: Program Management
Description: Building processes and
implementing tools for key
areas in sales, customer
success & project
management.* Other soft skill : Exposure to Sales / Customer
success processes is a plus. * Expected learning : Ability to define and setup
processes in multiple business
units within the company
Skills: Strong Communication & Analytical Skills
Students Required: 1
Min CGPA: 0
Max CGPA: 0","No"
"2767","AFour Technologies Pvt. Ltd.","Pune","IT","Any","50000","0","FieldTA: -
Weekdays: Saturday , Sunday
OtherInfo: Since students are likely to work from home good availability of internet as well as electricity is a must.
StationFacilitiesId: 9486
Status: Active
RemarkforAccommodation: Students are likely to work from home. However WFH situation will be more clear as we get near the PS term.
ContactDetailsForBoys: 
StartTime: 10:00AM
Medical: -
SubsidizedLunch: -
Stipend: 50000
StipendForPG: 0
OnOffice: -
FieldDA: -
Stationary: -
Travel: No Transport
FacultyId: 1133
AccomAddressforBoys: 
CompanyId: 2493
TillTime:  7:00PM
Accomodation: Students to make their own arrangements
ToOffice: -
StationAddress: Kapil Zenith IT Park, 5ht Floor, Bavdhan (Kh.), Off Mumbai Bangalore Highway, Pune - 411 021
ContactDetailsForGirls: 
AccomAddressforGirls:","Project: 0
Title: Design and develop smart data analytics components for an existing enterprise software system
Description: Current system supports working of different departments (e. g. HR, Finance, IT, Engineering). System needs to be evolved to add more features. System also needs smart analytical components that can provide important insights to the management based on the data in the system.
Skills: .Net , AWS , Azure , C# , Computer programming Skill , Dockers , Java  , Java/Python , Javascript , Python , R/BDMS, SQL , SQl  ,  Problem Solver, Self-starter  , Problem solving abilities
Students Required: 2
Min CGPA: 0
Max CGPA: 0","No"
"6074","Airbnb Capability Center","Gurgaon","Finance and Mgmt","Any","30000","0","StartTime:  9:00AM
TillTime:  5:00PM
Status: Active
StationFacilitiesId: 9608
FacultyId: 0
StipendForPG: 0
RemarkforAccommodation: 
ContactDetailsForGirls: 
Stationary: -
SubsidizedLunch: -
FieldDA: -
Travel: -
Stipend: 30000
AccomAddressforBoys: 
CompanyId: 5775
Accomodation: -
ToOffice: -
AccomAddressforGirls: 
FieldTA: -
Weekdays: 
StationAddress: 241, Udyog Vihar II Rd, Rajiv Nagar, Industry Vihar III, Sector 20, Gurugram, Haryana 122022 
OtherInfo: -
ContactDetailsForBoys: 
OnOffice: -
Medical: -","Project: 0
Title: Analytics
Description: Job Responsibilities -
Work on analytics projects on reporting, analytics deep dives & advanced analytics
Build KPIs & metrics to empower leadership to gain insights into business performance
Build dashboards & reporting in Gsheets/Excel, Tableau and Superset to drive actionable insights
Provide insightful solutions through data analytics to answer strategic business questions
Skills Required -
Working knowledge of Excel/Gsheets, PowerPoint & Tableau (preferable)
Working knowledge of SQL, Python (preferable)
Strong understanding of data analytics, reporting & insights generation
Basic knowledge of statistics & problem solving skills
Ability to thrive in a dynamic environment
Good communication skills with the ability to distill complex subjects to a wider audience
*Work on analytics projects supporting business requirements based on reporting,
analytics deep dives & advanced analytics
*Build KPIs & metrics to empower leadership to gain insights into business
performance
*Build dashboards & reporting for key business metrics in Gsheets/Excel, Tableau and
Superset to drive actionable insights and self-service for stakeholders
*Provide insightful solutions/recommendations through deep data analytics to answer
strategic business questions
What you need to succeed
* ~ 0-2 years of experience in data analytics
* Graduate in Economics, Engineering or other quantitative fields
* Working knowledge of Excel/Gsheets, PowerPoint & Tableau (preferable)
* Working knowledge of SQL and Python (preferable)
* Working knowledge of data analysis, reporting & insights
* Basic knowledge of statistics
* Logical analytical thinking & problem solving
* Flexibility to adapt to changing requirements to meet stakeholder needs
*Ability to thrive in a dynamic environment with a high degree of ambiguity
*Communication skills with the ability to distill complex subjects to a wider audience
Skills:  - 
Students Required: 4
Min CGPA: 0
Max CGPA: 0","No"
"3617","AlmaConnect","Gurgaon","Finance and Mgmt","-","15000","0","StationAddress: 270,Garage Society udyog Vihar, Phase 1- Gurgaon -122016
CompanyId: 3334
Travel: -
StartTime:  9:00AM
ToOffice: -
FieldTA: -
SubsidizedLunch: -
ContactDetailsForGirls: 
AccomAddressforGirls: 
StipendForPG: 0
ContactDetailsForBoys: 
TillTime:  5:00PM
Status: Active
Accomodation: -
OnOffice: -
Stipend: 15000
FacultyId: 951
Weekdays: Sunday
OtherInfo: Rs. 15k stipend
AccomAddressforBoys: 
FieldDA: -
Medical: -
Stationary: -
StationFacilitiesId: 9680
RemarkforAccommodation:","Project: 0
Title: Operations Management, Business Development and Marketing
Description: Operations Management, Business Development and Marketing
Skills:  - 
Students Required: 5
Min CGPA: 0
Max CGPA: 0","No"
"6095","Altair","Pune","Mechanical","A4","21500","0","StipendForPG: 0
RemarkforAccommodation: 
StartTime:  9:00AM
Medical: -
Travel: -
OtherInfo: -
Stipend: 21500
ContactDetailsForGirls: 
AccomAddressforGirls: 
CompanyId: 5796
TillTime:  5:00PM
FieldTA: -
Stationary: -
SubsidizedLunch: -
FacultyId: 0
ContactDetailsForBoys: 
AccomAddressforBoys: 
OnOffice: -
ToOffice: -
StationAddress: Pune 
StationFacilitiesId: 9672
Status: Active
Accomodation: Students to make their own arrangements
FieldDA: -
Weekdays:","Project: 0
Title: HyperWorks FEA
Description: &Double;1. Strong Fundamental knowledge on Mechanical Engineering Design
2. FEA Knowledge and Hands on skills in HyperMesh, Optistruct etc.
3. Good Communication and Team player and Strong Desire to Learn and Improvise.&Double;
Skills: FEA , Hypermesh , Optistruct
Students Required: 1
Min CGPA: 0
Max CGPA: 0","No"
"5016","Airmeet","Bangalore","Finance and Mgmt","Any , B3 , B4","35000","0","FieldDA: -
StationFacilitiesId: 9668
StipendForPG: 0
AccomAddressforBoys: 
AccomAddressforGirls: 
Accomodation: -
OnOffice: -
ToOffice: -
FieldTA: -
OtherInfo: NA
FacultyId: 583
ContactDetailsForBoys: 
SubsidizedLunch: -
StationAddress: Airmeet, Bangalore
Stipend: 35000
RemarkforAccommodation: 
StartTime:  9:00AM
Status: Active
Stationary: -
Travel: -
Weekdays: Saturday , Sunday
ContactDetailsForGirls: 
CompanyId: 4719
TillTime:  5:00PM
Medical: -","Project: 0
Title: Business Analysis & Strategy
Description: Assist in building go-to-market
strategies in different regions
· Formulate and evaluate business
hypotheses
Skills:  - 
Students Required: 5
Min CGPA: 0
Max CGPA: 0

Project: 1
Title: Assist in Business Development & community Engagement Strategies
Description: · Identifying different channels to
onboard new user base in Airmeet
along with creating opportunities for
the sales teams
· Own Customer Journey (Right from
outreach to sales) and liaise with
Airmeet clients/communities
Experiment & execute formats and
strategies to engage with
different communities
Skills:  - 
Students Required: 9
Min CGPA: 0
Max CGPA: 0

Project: 2
Title: 1. Analysing Go-To-Marketing Efficiency 2. Digital Marketing and Customer acquisition Analysis
Description: · A project that combines analytical
and strategy principles to analyze
conversion numbers and efficiency of
our SaaS Go-to-Market strategy. We
want to improve our sales and
marketing engines by
programmatically analyzing where
we can improve execution to improve
win rates and reduce leakage in the
sales funnel. This project would need
strong analytical skills and an ability
to work across functions of Sales and
Marketing. Knowledge of CRM
systems would be a plus. The intern
would gain great experience of how a
SaaS company’s revenue engine
works.
· This project would look at
understanding a customers journey
and how we model customer
acquisition. The intern would help set
up customer journeys for customer
aquisition through digital advertising,
ensuring we are targeting customers
the best possible way, analyzing
customer segments, messages, and
Digital and paid advertising across
channels. This project would work
with understanding target customers,
budget allocation across digital
spends and customer journeys for
key assets.
Skills:  - 
Students Required: 2
Min CGPA: 0
Max CGPA: 0

Project: 3
Title: Data Analytics
Description: · Driving and building business
visibility for different stakeholders at
Airmeet
· Working closing with
Marketing,Sales/Growth and Product
teams to deliver their analytics
requirements including ad-hoc
analysis like cohorts, funnel
optimisation , marketing campaign
optimisation , sales conversion rate
improvement and product
feature/usage analysis.
Skills:  - 
Students Required: 2
Min CGPA: 0
Max CGPA: 0

Project: 4
Title: Account Management & Expansion Analysis
Description: A project which involves deeply
understanding the needs of current
and target customers through regular
customer interactions and
quantitative and qualitative research,
and represent their voice to internal
teams.
Skills:  - 
Students Required: 1
Min CGPA: 0
Max CGPA: 0","No"
"6094","Altair","Hyderabad","IT","A2 , A3 , A4 , A7 , A8 , B4","21500","0","OtherInfo: -
StationFacilitiesId: 9671
Stipend: 21500
StartTime:  9:00AM
OnOffice: -
FieldDA: -
FieldTA: -
Stationary: -
ContactDetailsForBoys: 
AccomAddressforBoys: 
AccomAddressforGirls: 
TillTime:  5:00PM
Accomodation: Students to make their own arrangements
FacultyId: 0
ContactDetailsForGirls: 
Status: Active
SubsidizedLunch: -
Weekdays: 
StipendForPG: 0
RemarkforAccommodation: 
CompanyId: 5795
ToOffice: -
Medical: -
Travel: -
StationAddress: Hyderabad","Project: 0
Title: Student Intern
Description: This position is a unique opportunity to work with developers in a leading commercial software company. The position’s primary role is to develop code for a GUI-based pre-processing technology. The position also involves performing Q/A testing, writing documentations, developing tutorials, and customizing and automating solutions. The candidate will be responsible for HM interface implementations and maintenance.
Skills: C++ , Python , Tcl/TK
Students Required: 1
Min CGPA: 0
Max CGPA: 0

Project: 1
Title: Student Intern-FEA Solver Engineer
Description: &Double;• Documenting new features for Altair OptiStruct Online and Installation Help, including new feature and defect testing
• Ensure product quality during the development. Work on Altair OptiStruct Product Validation to evaluate the quality of the program based on rigorous new feature and defect testing.
• Building new problems for Altair OptiStruct Verification Problem Manual, Example Problem Manual & Demo Problem Manual.
• Working on Altair OptiStruct Solver Interface Testing in HyperMesh, HyperView & SimLab.
• Work with the Process Improvement team to drive process enhancements and improve process automation.
• This position requires a high level of initiative, great attention to detail, ability to learn quickly, ability to work with a global team, and possession of excellent communication skills.&Double;
Skills: Abaqus , Nastran , Optistruct
Students Required: 1
Min CGPA: 0
Max CGPA: 0","No"
"5963","AlphaICs India Pvt Ltd","Bangalore","IT","A3 , A7 , AA","25000","0","Weekdays: Saturday , Sunday
OtherInfo: -
RemarkforAccommodation: 
CompanyId: 5664
TillTime:  6:00PM
Stationary: -
FacultyId: 0
StipendForPG: 0
ContactDetailsForBoys: 
ContactDetailsForGirls: 
StartTime:  9:00AM
ToOffice: -
StationAddress: 6th Floor, H2 Block, Mountain Ash Building, Manyata Embassy Business Park, Outer Ring Rd, Bengaluru, Karnataka 560045
Status: Active
Accomodation: -
OnOffice: -
FieldDA: -
StationFacilitiesId: 9521
Stipend: 25000
AccomAddressforBoys: 
AccomAddressforGirls: 
Medical: -
FieldTA: -
SubsidizedLunch: -
Travel: -","Project: 0
Title: RTL Profile
Description: Job Description:
The candidate will be a key member of the AlphaICs Silicon Team. The role offers learning and exposure to various key functions in the hardware development for the next generation of RAP Architecture.
• Assist in Register Transfer Level (RTL) modelling & functional validation
• Use EDA tools extensively to simulate logic behaviour and evaluate power & area improvements
• Emulate the design on FPGAs and work closely with the AI Team to run benchmarks & estimate performance improvements
Qualification:
• You should be a student currently pursuing B.E./B.Tech/BS or M.E./M.Tech./MS in Electronics, VLSI, Microelectronics or Computer Science
• Basics knowledge of Digital Design and Verification is must.
• Understanding of RTL coding with Verilog and System Verilog
• Understanding of source code management tools like GIT or SVN
• Be familiar with Linux system, and scripting skills with TCL/Python.
• Good level of both verbal and written English
What We Offer:
• Work in a fast paced, autonomously driven, and demanding start-up atmosphere
• Flexible work schedule
• Career and professional development opportunities
Skills:  - 
Students Required: 2
Min CGPA: 0
Max CGPA: 0

Project: 1
Title: AI Research
Description: We are building the world&apos;s most advanced, AI edge inference and Learning engine. We have core processor technology that is modular, low power and high performance among peer companies. We are now scaling our engineering team to build products to address various markets’ needs (Automotive, IOT etc.)
About the role:
AlphaICs is looking for a world-class AI/Deep Learning Research Intern to research and develop neural network based learning algorithms. In this role, you will work with algorithm expert to come up with state of the art algorithms in the area of Artificial Intelligence,Computer Vision,natural language processing, including natural language processing, Object detection, and Image recognition.
If you are someone with a good understanding of deep learning, reinforcement learning, advanced mathematical concepts and good academic records , we will be happy yo talks to you about the work we are doing.
You should apply for this role if you have the following qualifications:
• Bachelors/Masters degree in computer science or AI related field with excellent academic records.
• Strong mathematical foundation and applied research experience in machine learning and deep learning, reinforcement learning
•
• Experience working with deep learning frameworks (Tensorflow, Pytorch, etc.) and related tools in each special field. Solid understanding and hands on experience with C/C++/Python
• Publication record in top AI conferences (ACL, CVPR, NAACL, ICML etc) is a plus.
• Experience with CUDA or GPU computation is a plus.
• Excellent communication and documentation skills
• Ability to learn quickly, starting with little information and becoming an expert in your domain
• Ability to communicate/collaborate with other researchers/engineers including our team members.
• Solid Github/ Kaggle profile is a plus
Skills:  - 
Students Required: 1
Min CGPA: 0
Max CGPA: 0","No"
"4036","Amazon - Machine Learning","Hyderabad","IT","A3 , A7 , A8 , AA , C6","60000","0","Status: Active
Medical: -
Travel: -
OtherInfo: -
StipendForPG: 0
CompanyId: 3750
AccomAddressforGirls: 
StartTime:  9:00AM
Stationary: -
ContactDetailsForBoys: 
ContactDetailsForGirls: 
FacultyId: 0
OnOffice: -
ToOffice: -
SubsidizedLunch: -
Weekdays: 
StationAddress: Amazon - Machine Learning, Hyderabad
StationFacilitiesId: 9492
Stipend: 60000
TillTime:  5:00PM
Accomodation: -
FieldDA: -
FieldTA: -
RemarkforAccommodation: 
AccomAddressforBoys:","Project: 0
Title: -
Description: Ability to relate to and solve business problems through machine learning, data mining,statistical algorithms and data analytics techniques
Skills with Java, C++, or other programming language, as well as with R, MATLAB, Python orsimilar scripting language
Experience in understanding and ability to implement algorithms in Machine Learning to work onrecommendation systems using both toolkits and self-developed code

Design, develop and evaluate highly innovative models for predictive learning
Establish scalable, efficient, automated processes for large scale data analyses modeldevelopment, model validation and model implementation
Research and implement novel machine learning and statistical approaches
Skills:  - 
Students Required: 4
Min CGPA: 0
Max CGPA: 0","No"
